school_name,country
"National Chiao Tung University","Taiwan"
"University of Exeter","United Kingdom"
"University of Konstanz","Germany"
"Karlsruhe Institute of Technology","Germany"
"University of Innsbruck","Austria"
"University of TÃ¼bingen","Germany"
"Drexel University","United States of America"
"University of Cincinnati","United States of America"
"Kent State University","United States of America"
"University of Illinois at Chicago","United States of America"
"Zhejiang University","China"
"Swedish University of Agricultural Sciences","Sweden"
"University of Wisconsin-Madison","United States of America"
"University of Texas at Austin","United States of America"
"University of Rochester","United States of America"
"Hebrew University of Jerusalem","Israel"
"University of Florida","United States of America"
"Brandeis University","United States of America"
"Chinese University of Hong Kong","Hong Kong"
"Free University of Berlin","Germany"
"University of Warwick","United Kingdom"
"Radboud University Nijmegen","Netherlands"
"Medical University of South Carolina","United States of America"
"Texas A&M University","United States of America"
"Paris Diderot University â€“ Paris ,"France"
"UniversitÃ© Catholique de Louvain","Belgium"
"University of Miami","United States of America"
"Queenâ€™s University","Canada"
"University of SÃ£o Paulo","Brazil"
"University of Western Australia","Australia"
"City University of Hong Kong","Hong Kong"
"Autonomous University of Barcelona","Spain"
"Colorado School of Mines","United States of America"
"Northeastern University","United States of America"
"Technion Israel Institute of Technology","Israel"
"Tulane University","United States of America"
"Ulm University","Germany"
"UmeÃ¥ University","Sweden"
"University at Buffalo","United States of America"
"University of Essex","United Kingdom"
"University of Georgia","United States of America"
"University of Medicine and Dentistry of New Jersey","United States of America"
"University of South Carolina","United States of America"
"University of Strasbourg","France"
"University of Western Ontario","Canada"
"UniversitÃ© Libre de Bruxelles","Belgium"
"Colorado State University","United States of America"
"Creighton University","United States of America"
"Fudan University","China"
"State University of New York Albany","United States of America"
"University of Bologna","Italy"
"University of Hamburg","Germany"
"University of Milan-Bicocca","Italy"
"University of Missouri","United States of America"
"University of Padua","Italy"
"Johannes Kepler University of Linz","Austria"
"Norwegian University of Science and Technology","Norway"
"Queenâ€™s University Belfast","United Kingdom"
"Ruhr University Bochum","Germany"
"TU Dresden","Germany"
"University of Graz","Austria"
"University of Kiel","Germany"
"University of Southern Denmark","Denmark"
"University of Texas at Dallas","United States of America"
"University of the Witwatersrand","South Africa"
"Virginia Polytechnic Institute and State University","United States of America"
"Wayne State University","United States of America"
"Autonomous University of Madrid","Spain"
"Lomonosov Moscow State University","Russian Federation"
"Montpellier University","France"
"Queensland University of Technology","Australia"
"State University of Campinas","Brazil"
"UiT The Arctic University of Norway","Norway"
"University of Iceland","Iceland"
"University of Kansas","United States of America"
"University of Kentucky","United States of America"
"University of MÃ¼nster","Germany"
"University of Newcastle","Australia"
"University of Texas at San Antonio","United States of America"
"Binghamton University, State University of New York","United States of America"
"BoÄŸaziÃ§i University","Turkey"
"Charles University in Prague","Czech Republic"
"George Mason University","United States of America"
"Indian Institute of Technology Bombay","India"
"Lehigh University","United States of America"
"LinkÃ¶ping University","Sweden"
"Plymouth University","United Kingdom"
"Polytechnic University of Milan","Italy"
"Shanghai Jiao Tong University","China"
"Sharif University of Technology","Iran"
"Sungkyunkwan University (SKKU)","South Korea"
"University College Cork","Republic of Ireland"
"University of Canterbury","New Zealand"
"University of Ferrara","Italy"
"University of Houston","United States of America"
"University of LiÃ¨ge","Belgium"
"University of Maryland, Baltimore County","United States of America"
"University of Oklahoma","United States of America"
"University of South Florida","United States of America"
"University of Tampere","Finland"
"University of Valencia","Spain"
"Vienna University of Technology","Austria"
"Vrije Universiteit Brussel","Belgium"
"Washington State University","United States of America"
"Auburn University","United States of America"
"Clemson University","United States of America"
"Georgia State University","United States of America"
"Harbin Institute of Technology","China"
"Kansas State University","United States of America"
"Leibniz University of Hanover","Germany"
"Michigan Technological University","United States of America"
"National University of Ireland, Galway","Republic of Ireland"
"National University of Ireland, Maynooth","Republic of Ireland"
"New Jersey Institute of Technology","United States of America"
"New University of Lisbon","Portugal"
"Old Dominion University","United States of America"
"Polytechnic University of Catalonia","Spain"
"Polytechnic University of Turin","Italy"
"Polytechnic University of Valencia","Spain"
"Pontifical Catholic University of Chile","Chile"
"Saint Petersburg State University","Russian Federation"
"University of Bari Aldo Moro","Italy"
"University of Idaho","United States of America"
"University of Paris North â€“ Paris "France"
"University of Salento","Italy"
"University of Wyoming","United States of America"
"University of Zaragoza","Spain"
"Wuhan University","China"
"Paris-Sud University","France"
"Joseph Fourier University","France"
"Johannes Gutenberg University of Mainz","Germany"
"St Georgeâ€™s, University of London","United Kingdom"
"University of Erlangen-Nuremberg","Germany"
"Florida Institute of Technology","United States of America"
"Indian Institute of Technology Kharagpur","India"
"KoÃ§ University","Turkey"
"Laval University","Canada"
"Mines ParisTech","France"
"National Research Nuclear University MePhI","Russian Federation"
"University of Connecticut","United States of America"
"University of Oregon","United States of America"
"Bayreuth University","Germany"
"Oregon State University","United States of America"
"University of Montana","United States of America"
"Claude Bernard University Lyon ,"France"
"King Abdulaziz University","Saudi Arabia"
"Medical University of Vienna","Austria"
"National Cheng Kung University","Taiwan"
"North Carolina State University","United States of America"
"Renmin University of China","China"
"University of Fribourg","Switzerland"
"University of Pavia","Italy"
"University of Vermont","United States of America"
"Indian Institute of Technology Roorkee","India"
"King Mongkutâ€™s University of Technology Thonburi","Thailand"
"National Autonomous University of Mexico","Mexico"
"Paris Dauphine University","France"
"Southern Methodist University","United States of America"
"Temple University","United States of America"
"University of Duisburg-Essen","Germany"
"University of JyvÃ¤skylÃ¤","Finland"
"University of KwaZulu-Natal","South Africa"
"University of the Andes, Colombia","Colombia"
"University of Vigo","Spain"
"University of Nebraska-Lincoln","United States of America"
"University of Alaska Fairbanks","United States of America"
"Wuhan University of Technology","China"
"China Medical University, Taiwan","Taiwan"
"Indian Institute of Technology Delhi","India"
"Indian Institute of Technology Kanpur","India"
"San Diego State University","United States of America"
"University of Rovira i Virgili","Spain"
"Scuola Normale Superiore di Pisa","Italy"
"Syracuse University","United States of America"
"SabancÄ± University","Turkey"
"Technical University of Berlin","Germany"
"Federico Santa MarÃ­a Technical University","Chile"
"University of Bremen","Germany"
"University of New Mexico","United States of America"
"Lappeenranta University of Technology","Finland"
"University of Macau","Macau"
"Illinois Institute of Technology","United States of America"
"Novosibirsk State University","Russian Federation"
"University of Marrakech Cadi Ayyad","Morocco"
"University of Nebraska Medical Center","United States of America"
"University of Stuttgart","Germany"
"Isfahan University of Technology","Iran"
"Royal College of Surgeons in Ireland","Republic of Ireland"
"University of Rome III","Italy"
"University of Mannheim","Germany"
"Scuola Superiore Santâ€™Anna","Italy"
"University of Luxembourg","Luxembourg"
"CharitÃ© - UniversitÃ¤tsmedizin Berlin","Germany"
"Copenhagen Business School","Denmark"
"Florida State University","United States of America"
"Oregon Health and Science University","United States of America"
"Paris Descartes University","France"
"Peter the Great St Petersburg Polytechnic University","Russian Federation"
"Royal Veterinary College","United Kingdom"
"Rush University","United States of America"
"Justus Liebig University Giessen","Germany"
"Saint Louis University","United States of America"
"University of Tennessee, Knoxville","United States of America"
"Tomsk Polytechnic University","Russian Federation"
"University of Greifswald","Germany"
"Gwangju Institute of Science and Technology","South Korea"
"Kazan Federal University","Russian Federation"
"Medical College of Wisconsin","United States of America"
"University of Naples Federico II","Italy"
"Ã–rebro University","Sweden"
"Technical University of Dortmund","Germany"
"Toulouse 1 Capitole University","France"
"VÅ B - Technical University of Ostrava","Czech Republic"
"University of Cyprus","Cyprus"
"University of St Gallen","Switzerland"
"Instituto Superior TÃ©cnico Lisboa","Portugal"
"PanthÃ©on-Sorbonne University â€“ Paris ,"France"
"University of South Dakota","United States of America"
"Lille 2 University â€“ Health and Law","France"
"American University","United States of America"
"Caâ€™ Foscari University of Venice","Italy"
"University of Cagliari","Italy"
"Catholic University of the Sacred Heart","Italy"
"City University London","United Kingdom"
"Dublin City University","Republic of Ireland"
"East China University of Science and Technology","China"
"Florida International University","United States of America"
"Howard University","United States of America"
"Indian Institute of Technology Madras","India"
"University of Ioannina","Greece"
"Iran University of Science and Technology","Iran"
"University of Kaiserslautern","Germany"
"Louisiana State University","United States of America"
"Marche Polytechnic University","Italy"
"University of Nantes","France"
"National Institute of Applied Sciences of Lyon (INSA Lyon)","France"
"National Yang-Ming University","Taiwan"
"University of NeuchÃ¢tel","Switzerland"
"University of Nice Sophia Antipolis","France"
"The Open University","United Kingdom"
"University of Rome II â€“ Tor Vergata","Italy"
"University of San Francisco","United States of America"
"Tampere University of Technology","Finland"
"UniversitÃ© du QuÃ©bec Ã  MontrÃ©al","Canada"
"University of Urbino Carlo Bo","Italy"
"Xiamen University","China"
"American University of Beirut","Lebanon"
"Amirkabir University of Technology","Iran"
"University of Arkansas","United States of America"
"BabeÅŸ-Bolyai University","Romania"
"Bauman Moscow State Technical University","Russian Federation"
"Ben-Gurion University of the Negev","Israel"
"Blaise Pascal University","France"
"University of Burgundy","France"
"University of Catania","Italy"
"Central Queensland University","Australia"
"University of Chile","Chile"
"China Agricultural University","China"
"Chung-Ang University","South Korea"
"East China Normal University","China"
"Federal University of Rio de Janeiro","Brazil"
"Huazhong University of Science and Technology","China"
"Indian Institute of Technology Guwahati","India"
"King Fahd University of Petroleum and Minerals","Saudi Arabia"
"University of La Laguna","Spain"
"University of Limerick","Republic of Ireland"
"Manchester Metropolitan University","United Kingdom"
"Missouri University of Science and Technology","United States of America"
"Montana State University","United States of America"
"Monterrey Institute of Technology and Higher Education","Mexico"
"New Mexico State University","United States of America"
"University of North Carolina at Greensboro","United States of America"
"Oklahoma State University","United States of America"
"Otto von Guericke University of Magdeburg","Germany"
"University of Oviedo","Spain"
"PalackÃ½ University in Olomouc","Czech Republic"
"Pontifical Catholic University of Rio de Janeiro (PUC-Rio)","Brazil"
"Portland State University","United States of America"
"Quaid-i-azam University","Pakistan"
"University of Regina","Canada"
"University of Rennes ,"France"
"University of Santiago de Compostela","Spain"
"Semmelweis University","Hungary"
"University of Seville","Spain"
"UniversitÃ© de Sherbrooke","Canada"
"Soochow University","China"
"South China University of Technology","China"
"Tallinn University of Technology","Estonia"
"Tehran University of Medical Sciences","Iran"
"University of Texas at Arlington","United States of America"
"Tianjin University","China"
"University of Toledo","United States of America"
"Tongji University","China"
"University of Tulsa","United States of America"
"University of Wisconsin-Milwaukee","United States of America"
"Xiâ€™an Jiaotong University","China"
"University of A CoruÃ±a","Spain"
"Adam Mickiewicz University","Poland"
"University of AlcalÃ¡","Spain"
"Amrita University","India"
"Andhra University","India"
"University of Antioquia","Colombia"
"Asia University, Taiwan","Taiwan"
"Auckland University of Technology","New Zealand"
"Austral University of Chile","Chile"
"Beijing Institute of Technology","China"
"University of BrasÃ­lia","Brazil"
"California State University, Long Beach","United States of America"
"Capital Medical University","China"
"University of Castilla-La Mancha","Spain"
"University of Cergy-Pontoise","France"
"Carlos III University of Madrid","Spain"
"China University of Geosciences (Wuhan)","China"
"China University of Petroleum (Beijing)","China"
"Chonbuk National University","South Korea"
"Chongqing University","China"
"Dalian University of Technology","China"
"Dublin Institute of Technology","Republic of Ireland"
"Ehime University","Japan"
"University of Electronic Science and Technology of China","China"
"EÃ¶tvÃ¶s LorÃ¡nd University","Hungary"
"Erciyes University","Turkey"
"Federal University of Bahia","Brazil"
"Federal University of Minas Gerais","Brazil"
"Federal University of ParanÃ¡ (UFPR)","Brazil"
"Federal University of Rio Grande do Sul","Brazil"
"Federal University of Santa Catarina","Brazil"
"Federal University of SÃ£o Carlos","Brazil"
"Federal University of ViÃ§osa","Brazil"
"Federal University of Lavras","Brazil"
"GdaÅ„sk University of Technology","Poland"
"Hunan University","China"
"University of Ibadan","Nigeria"
"University of Indonesia","Indonesia"
"I-Shou University","Taiwan"
"Jilin University","China"
"Jordan University of Science and Technology","Jordan"
"Juntendo University","Japan"
"K.N. Toosi University of Technology","Iran"
"Kaohsiung Medical University","Taiwan"
"Kingston University","United Kingdom"
"Kinki University","Japan"
"Lille 1 University â€“ Science and Technology","France"
"Miami University","United States of America"
"Moscow Institute of Physics and Technology","Russian Federation"
"National University of CÃ³rdoba","Argentina"
"National University of Science and Technology (MISiS)","Russian Federation"
"National University of Sciences and Technology","Pakistan"
"Northumbria University","United Kingdom"
"Northwestern Polytechnical University","China"
"Oakland University","United States of America"
"Ocean University of China","China"
"Ohio University","United States of America"
"Paris-Sorbonne University â€“ Paris ,"France"
"University of PÃ©cs","Hungary"
"Pontifical Catholic University of ParanÃ¡","Brazil"
"Pontifical Catholic University of Rio Grande do Sul (PUCRS)","Brazil"
"Pontifical Catholic University of ValparaÃ­so","Chile"
"Rio de Janeiro State University (UERJ)","Brazil"
"Rochester Institute of Technology","United States of America"
"University of Santiago, Chile (USACH)","Chile"
"SÃ£o Paulo State University (UNESP)","Brazil"
"University of Science and Technology Beijing","China"
"Shahid Beheshti University","Iran"
"Shanghai University","China"
"Shantou University","China"
"Showa University","Japan"
"Sichuan University","China"
"University of South Africa","South Africa"
"Southern Federal University","Russian Federation"
"University of Southern Mississippi","United States of America"
"Taipei Medical University","Taiwan"
"Technical University of Madrid","Spain"
"University of Tehran","Iran"
"University of Texas at El Paso","United States of America"
"Texas Tech University","United States of America"
"Tokyo University of Marine Science and Technology","Japan"
"Tomsk State University","Russian Federation"
"Tottori University","Japan"
"Toyohashi University of Technology","Japan"
"Universiti Kebangsaan Malaysia","Malaysia"
"Universiti Putra Malaysia","Malaysia"
"Universiti Sains Malaysia","Malaysia"
"Universiti Teknologi MARA","Malaysia"
"Ural Federal University","Russian Federation"
"V.N. Karazin Kharkiv National University","Ukraine"
"West University of TimiÅŸoara","Romania"
"Xidian University","China"
"YÄ±ldÄ±z Technical University","Turkey"
"Massachusetts Institute of Technology (MIT)","United States of America"
"University of Wisconsin - Madison","United States of America"
"University of California, San Francisco","United States of America"
"The Johns Hopkins University","United States of America"
"University of Michigan - Ann Arbor","United States of America"
"The Imperial College of Science, Technology and Medicine","United Kingdom"
"Swiss Federal Institute of Technology Zurich","Swiss"
"Washington University in St. Louis","United States of America"
"Rockefeller University","United States of America"
"University of Minnesota, Twin Cities","United States of America"
"University of Colorado at Boulder","United States of America"
"The University of Texas at Austin","United States of America"
"The University of Texas Southwestern Medical Center at Dallas","United States of America"
"Pennsylvania State University - University Park","United States of America"
"Rutgers, The State University of New Jersey - New Brunswick","United States of America"
"Pierre and Marie  Curie University - Paris ,"France"
"University of Munich","Germany"
"Technical University Munich","Germany"
"University of Paris Sud (Paris 11)","France"
"The Ohio State University - Columbus","United States of America"
"Moscow State University","Russian Federation"
"University of Heidelberg","Germany"
"Purdue University - West Lafayette","United States of America"
"University of Goettingen","Germany"
"Indiana University Bloomington","United States of America"
"Texas A&M University - College Station","United States of America"
"Ecole Normale Superieure - Paris","France"
"University of Roma - La Sapienza","Italy"
"Arizona State University - Tempe","United States of America"
"Baylor College of Medicine","United States of America"
"Catholic University of Leuven","Germany"
"Catholic University of Louvain","Germany"
"College of France","France"
"Mayo Medical School","United States of America"
"North Carolina State University - Raleigh","United States of America"
"State University of New York at Stony Brook","United States of America"
"Technion-Israel Institute of Technology","Israel"
"The University of Georgia","United States of America"
"The University of Glasgow","United Kingdom"
"University Libre Bruxelles","Belgium"
"University of Frankfurt","Germany"
"University of Hawaii at Manoa","United States of America"
"University of Massachusetts Amherst","United States of America"
"University of Muenster","Germany"
"University of Sao Paulo"," Brazil"
"University of Tuebingen","Germany"
"University of Wuerzburg","Germany"
"Weizmann Institute of Science","Israel"
"Erasmus University","Netherlands"
"Joseph Fourier University (Grenoble 1)","France"
"Mount Sinai School of Medicine","United States of America"
"Queen's University","Canada"
"Swiss Federal Institute of Technology of Lausanne","Swiss"
"The University of Alabama at Birmingham","United States of America"
"The University of Calgary","Canada"
"The University of Connecticut - Storrs","United States of America"
"The University of Texas Health Science Center at Houston","United States of America"
"The University of Texas M. D. Anderson Cancer Center","United States of America"
"University of Koeln","Germany"
"University of Leipzig","Germany"
"University of Mainz","Germany"
"University of Marburg","Germany"
"University of Maryland, Baltimore","United States of America"
"University of Nebraska - Lincoln","United States of America"
"University of Paris Descartes (Paris 5)","France"
"University of Paris Diderot (Paris 7)","France"
"University of Tennessee - Knoxville","United States of America"
"University of Wageningen","Netherlands"
"Virginia Commonwealth University","United States of America"
"Ecole Polytechnique","France"
"Louisiana State University - Baton Rouge","United States of America"
"Paul Sabatier University (Toulouse 3)","France"
"Queen Mary, U. of London","United Kingdom"
"Royal Institute of Technology","Sweden"
"State University of New York at Albany","United States of America"
"State University of New York at Buffalo","United States of America"
"The Chinese University of Hong Kong","Hong Kong"
"The George Washington University","United States of America"
"The Hong Kong University of Science and Technology","Hong Kong"
"The University of Auckland","Australia"
"The University of Dundee","United Kingdom"
"The University of Hong Kong","Hong Kong"
"The University of New Mexico - Albuquerque","United States of America"
"The University of Reading","United Kingdom"
"The University of Texas Health Science Center at San Antonio","United States of America"
"The University of Texas Medical Branch at Galveston","United States of America"
"Thomas Jefferson University","United States of America"
"University of Alaska - Fairbanks","United States of America"
"University of Bochum","Germany"
"University of Bordeaux ,"France"
"University of Buenos Aires","Brazil"
"University of Colorado Health Science Center","United States of America"
"University of Durham","United Kingdom"
"University of Genova","Italy"
"University of Halle-Wittenberg","Germany"
"University of Kansas - Lawrence","United States of America"
"University of Karlsruhe","United Kingdom"
"University of Liege","Belgium"
"University of Massachusetts Medical School - Worcester","United States of America"
"University of Medicine and Dentistry New Jersey","United States of America"
"University of Missouri - Columbia","United States of America"
"University of Montpellier ,"France"
"University of South Carolina - Columbia","United States of America"
"Washington State University - Pullman","United States of America"
"Western University","United States of America"
"Brigham Young University","United States of America"
"City University of New York City College","United States of America"
"Technical University Darmstadt","Germany"
"Dresden University of Technology","Germany"
"Ecole National Superieure Mines - Paris","France"
"Ecole Normale Superieure - Lyon","France"
"Eotvos Lorand University","Hungary"
"Henri Poincare University (Nancy 1)","France"
"Indiana University-Purdue University at Indianapolis","United States of America"
"Industrial Physics and Chemistry Higher Educational Institution - Paris","France"
"International School for Advanced Studies","Italy"
"Korea Advanced Institute of Science and Technology","South Korea"
"Linkoping University","Sweden"
"London School of Hygiene and Tropical Medicine","United Kingdom"
"Nihon University","Japan"
"Polytechnic Institute of Milan","Italy"
"Royal Holloway, U. of London","United Kingdom"
"Scuola Normale Superiore - Pisa","Italy"
"State University of New York Health Science Center at Brooklyn","United States of America"
"Stockholm School of Economics","Sweden"
"Sungkyunkwan University","South Korea"
"Technical University of Braunschweig","Germany"
"The Hong Kong Polytechnic University","Hong Kong"
"The University of Montana - Missoula","United States of America"
"The University of Texas at Dallas","United States of America"
"The University of Tokushima","Japan"
"Tokyo Medical and Dental University","Japan"
"University of Bielefeld","Germany"
"University of Duesseldorf","Germany"
"University of Nevada - Reno","United States of America"
"University of New Hampshire - Durham","United States of America"
"University of Oklahoma - Norman","United States of America"
"University of Paris Dauphine (Paris 9)","France"
"University of Perugia","Italy"
"University of Regensburg","Germany"
"University of Rhode Island","United States of America"
"University of Roma - Tor Vergata","Italy"
"University of the Mediterranean (Aix-Marseille 2)","France"
"University of Ulm","Germany"
"Utah State University","United States of America"
"Hannover Medical School","Germany"
"Loyola University Chicago","United States of America"
"Medical College of Georgia","United States of America"
"Medical University of Graz","Austria"
"Medical University of Innsbruck","Austria"
"Montana State University - Bozeman","United States of America"
"Nara Institute of Science and Technology","Japan"
"National Yang Ming University","Taiwan"
"Northern Arizona University","United States of America"
"Saarland University","Germany"
"Sao Paulo State University","Brazil"
"Swansea Univ","United Kingdom"
"The College of  William and Mary","United States of America"
"The Graduate University for Advanced Studies","Japan"
"The Royal Veterinary and Agricultural University","Denmark"
"The University of Akron","United States of America"
"The University of Connecticut Health Center","United States of America"
"The University of Memphis","United States of America"
"University of Central Florida","United States of America"
"University of Giessen","Germany"
"University of Jena","Germany"
"University of Jyvaskyla","Finland"
"University of Louisville","United States of America"
"University of Maastricht","Netherlands"
"University of Maine","United States of America"
"University of Mississippi","United States of America"
"University of Provence (Aix-Marseille 1)","France"
"University of Quebec","Canada"
"University of Rostock","Germany"
"University of Sevilla","Spain"
"University of Sherbrooke","Canada"
"University of Tennessee Health Science Center","United States of America"
"University of Tromso","Norway"
"University of Wisconsin - Milwaukee","United States of America"
"Victor Segalen Bordeaux 2 University","France"
"Vrije University Brussel","Belgium"
"University of Arkansas at Fayetteville","United States of America"
"Brunel University","United Kingdom"
"Louisiana State University Health Sciences Center","United States of America"
"Mississippi State University","United States of America "
"Shandong University","China"
"University of Arkansas at Little Rock","United States of America"
"University of New England","Australia"
"West Virginia University","United States of America"
"Rutgers, The State University of New Jersey","United States of America"
"Catholic University of Chile","Chile"
"Lanzhou University","China"
"Nankai University","China"
"University of Hannover","Germany"
"University of Kansas Medical Center","United States of America"
"University of Lille ,"France"
"University of Colorado at Denver","United States of America"
"Cranfield University","United Kingdom"
"University of Dortmund","Germany"
"Curtin University of Technology","Australia"
"University of Pompeu Fabra","Spain"
"University of Santiago Compostela","Spain"
"Southeast University","China"
"The University of Texas at San Antonio","United States of America"
"University of Versailles","France"
"Xian Jiao Tong University","China"
"University of Lorraine","France"
"Karlsruhe Institute of Technology (KIT)","Germany"
"Beijing Normal University","China"
"Beijing University of Aeronautics and Astronautics","China"
"Federal University of Sao Paulo","Brazil"
"University of Malaya","Malaysia"
"University of Milan - Bicocca","Italy"
"University of Technology, Sydney","Australia"
"Aix Marseille University","France"
"University of California-Berkeley","United States of America"
"University of Michigan-Ann Arbor","United States of America"
"University of Pittsburgh-Pittsburgh Campus","United States of America"
"Swiss Federal Institute of Technology Lausanne","Swiss"
"Texas A & M University","United States of America"
"The University of New South Wales","Australia"
"University Paris Diderot - Paris ,"France"
"Icahn School of Medicine at Mount Sinai","United States of America"
"Norwegian University of Science and Technology - NTNU","Norway"
"Queen Mary, University of London","United Kingdom"
"Western University (The University of Western Ontario)","Canada"
"Beihang University","China"
"Central South University","China"
"ESPCI ParisTech","France"
"London School of Hygiene & Tropical Medicine","United Kingdom"
"SUNY at Albany","United States of America"
"University of Campinas","Brazil"
"Capital University of Medical Sciences","China"
"Catholic University of Korea","South Korea"
"King Abdullah University of Science and Technology","Saudi Arabia"
"MINES ParisTech","France"
"Nanjing Medical University","China"
"Peking Union Medical College","China"
"University of Auvergne","France"
"University of Science, Malaysia","Malaysia"
"University of Paris-Sud (Paris 11)","France"
"University of Pittsburgh, Pittsburgh Campus","United States of America"
"UniversitÃ© libre de Bruxelles (ULB)","Belgium"
"Toulouse School of Economics","France"
"University at Buffalo, the State University of New York","United States of America"
"University of Alabama at Birmingham","United States of America"
"University of Montpellier","France"
"China Medical University","China"
"Paris Dauphine University (Paris 9)","France"
"The University of Newcastle, Australia","Australia"
"University at Albany (State University of New York)","United States of America"
"University of Montana - Missoula","United States of America"
"Massachusetts Institute of Technology (MIT) ","United States"
"Ecole normale supÃ©rieure, Paris","France"
"Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen","Germany"
"Ruprecht-Karls-UniversitÃ¤t Heidelberg","Germany"
"KTH Royal Institute of Technology ","Sweden"
"Universidade de SÃ£o Paulo","Brazil"
"Humboldt-UniversitÃ¤t zu Berlin","Germany"
"UniversitÃ© de MontrÃ©al ","Canada"
"Universidad Nacional AutÃ³noma de MÃ©xico  (UNAM)","Mexico"
"UniversitÃ© Pierre et Marie Curie (UPMC)","France"
"Erasmus University Rotterdam ","Netherlands"
"Pontificia Universidad CatÃ³lica de Chile (UC)","Chile"
"UniversitÃ© catholique de Louvain (UCLouvain)","Belgium"
"Technische UniversitÃ¤t Berlin (TU Berlin)","Germany"
"CentraleSupÃ©lec","France"
"Eberhard Karls UniversitÃ¤t TÃ¼bingen","Germany"
"Maastricht University ","Netherlands"
"Technische UniversitÃ¤t Wien","Austria"
"Radboud University ","Netherlands"
"Universitat AutÃ²noma de Barcelona","Spain"
"UniversitÃ© Grenoble Alpes","France"
"TecnolÃ³gico de Monterrey","Mexico"
"Universidad AutÃ³noma de Madrid","Spain"
"Technische UniversitÃ¤t Dresden","Germany"
"Sciences Po ","France"
"UniversitÃ© Paris-Sorbonne (Paris IV)","France"
"UniversitÃ© Paris 1 PanthÃ©on-Sorbonne ","France"
"Rheinische Friedrich-Wilhelms-UniversitÃ¤t Bonn","Germany"
"UniversitÃ¤t Hamburg","Germany"
"UniversitÃ© Paris-Saclay","France"
" University of Dundee","United Kingdom"
"SOAS University of London ","United Kingdom"
"Beijing Normal University ","China (Mainland)"
"UniversitÃ© de Strasbourg","France"
"UniversitÃ© Diderot  Paris ,"France"
"UniversitÃ¤t Stuttgart","Germany"
"ENS Paris-Saclay","France"
"Friedrich-Alexander-UniversitÃ¤t Erlangen-NÃ¼rnberg","Germany"
"Universiti Teknologi Malaysia ","Malaysia"
"WestfÃ¤lische Wilhelms-UniversitÃ¤t MÃ¼nster ","Germany"
"UniversitÃ¤t Innsbruck","Austria"
"Rutgers Universityâ€“New Brunswick","United States"
"Pontificia Universidad CatÃ³lica Argentina","Argentina"
"UniversitÃ© de LiÃ¨ge","Belgium"
"Xiâ€™an Jiaotong University","China (Mainland)"
"Tampere University of Technology ","Finland"
"Universitat PolitÃ¨cnica de Catalunya Â· BarcelonaTech (UPC)","Spain"
"UniversitÃ© de Montpellier","France"
"University of Lisbon ","Portugal"
"UniversitÃ Â di Padova","Italy"
"Lincoln University ","New Zealand"
"University of HawaiÊ»i at MÄnoa","United States"
"UniversitÃ¤t Konstanz","Germany"
"UniversitÃ© Paris-Dauphine, UniversitÃ© PSL","France"
"UniversitÃ¤t Jena","Germany"
"University of Warsaw ","Poland"
"UniversitÃ© Laval","Canada"
"University of Colorado, Denver ","United States"
"UniversitÃ© Paris Descartes","France"
"University of TromsÃ¸ The Arctic University of Norway","Norway"
"Johannes Gutenberg UniversitÃ¤t Mainz","Germany"
"Universidad Externado de Colombia ","Colombia"
"UniversitÃ¤t Mannheim","Germany"
"Julius-Maximilians-UniversitÃ¤t WÃ¼rzburg","Germany"
"Institut National des Sciences AppliquÃ©es de Lyon (INSA)","France"
"HUFS - Hankuk (Korea) University of Foreign Studies ","South Korea"
"Universitat PolitÃ¨cnica de ValÃ¨ncia","Spain"
"UniversitÃ¤t Bremen","Germany"
"Dongguk University ","South Korea"
"Ruhr-UniversitÃ¤t Bochum","Germany"
"Universidade Federal do Rio Grande Do Sul ","Brazil"
"UniversitÃ© Paul Sabatier Toulouse III","France"
"Arabian Gulf University","Bahrain"
"BogaziÃ§i Ãœniversitesi","Turkey"
"Technische UniversitÃ¤t Braunschweig","Germany"
"Pontificia Universidad CatÃ³lica del PerÃº","Peru"
"Vilnius University ","Lithuania"
"UniversitÃ Â Cattolica del Sacro Cuore","Italy"
"The Catholic University of Korea ","South Korea"
"Saint Joseph University of Beirut (USJ) ","Lebanon"
"PontifÃ­cia Universidade CatÃ³lica do Rio de Janeiro","Brazil"
"UniversitÃ© du QuÃ©bec","Canada"
"UniversitÃ¤t  Leipzig","Germany"
"UniversitÃ© Claude Bernard Lyon ,"France"
"Instituto TecnolÃ³gico de Buenos Aires (ITBA)","Argentina"
"Martin-Luther-UniversitÃ¤t Halle-Wittenberg","Germany"
"PontifÃ­cia Universidade CatÃ³lica de SÃ£o Paulo","Brazil"
"Sejong University ","South Korea"
"Umm Al-Qura University ","Saudi Arabia"
"Universidad de San AndrÃ©s - UdeSA","Argentina"
"Universidade Federal de SÃ£o Paulo","Brazil"
"UniversitÃ¤t des Saarlandes","Germany"
"UniversitÃ¤t Regensburg","Germany"
"University of Mons ","Belgium"
"Universidade Federal de Minas Gerais      ","Brazil"
"Charles Darwin University ","Australia"
"William & Mary","United States"
"Keele University ","United Kingdom"
"Philipps-UniversitÃ¤t Marburg ","Germany"
"Universidad PolitÃ©cnica de Madrid (UPM)","Spain"
"Rhodes University ","South Africa"
"Tokyo University of Agriculture and Technology ","Japan"
"UniversitÃ  degli Studi di Pavia","Italy"
"University of Canberra ","Australia"
"University of Ulsan ","South Korea"
